2022-07-23 11:42:26.290 INFO  27000 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:42:26.300 INFO  27000 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:42:26.300 INFO  27000 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:42:41.434 INFO  26092 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-07-23 11:42:41.440 INFO  26092 --- [main] com.example.mqdemo.MqdemoApplication - Starting MqdemoApplication using Java 1.8.0_91 on SC-201909211057 with PID 26092 (E:\git\demo\mqdemo\target\classes started by Administrator in E:\git\demo)
2022-07-23 11:42:41.442 INFO  26092 --- [main] com.example.mqdemo.MqdemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-23 11:42:42.464 INFO  26092 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-07-23 11:42:42.474 INFO  26092 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-07-23 11:42:42.474 INFO  26092 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-23 11:42:42.474 INFO  26092 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-23 11:42:42.728 INFO  26092 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-23 11:42:42.728 INFO  26092 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1205 ms
2022-07-23 11:42:48.362 INFO  26092 --- [main] o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='default', namespace='', nameServer='192.168.50.136:9876', topic='order_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='B', messageModel=CLUSTERING', tlsEnable=false}
2022-07-23 11:42:48.364 INFO  26092 --- [main] o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:orderConsumerTagB, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2022-07-23 11:42:50.887 INFO  26092 --- [main] o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='default', namespace='', nameServer='192.168.50.136:9876', topic='order_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='A', messageModel=CLUSTERING', tlsEnable=false}
2022-07-23 11:42:50.888 INFO  26092 --- [main] o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:orderConsumerTagA, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2022-07-23 11:42:50.907 INFO  26092 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-07-23 11:42:50.922 INFO  26092 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-07-23 11:42:50.932 INFO  26092 --- [main] com.example.mqdemo.MqdemoApplication - Started MqdemoApplication in 12.466 seconds (JVM running for 19.301)
2022-07-23 11:55:41.989 INFO  26092 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:55:41.990 INFO  26092 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:55:42.003 INFO  26092 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:55:42.004 INFO  26092 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:56:22.874 INFO  9460 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-07-23 11:56:22.881 INFO  9460 --- [main] com.example.mqdemo.MqdemoApplication - Starting MqdemoApplication using Java 1.8.0_91 on SC-201909211057 with PID 9460 (E:\git\demo\mqdemo\target\classes started by Administrator in E:\git\demo)
2022-07-23 11:56:22.883 INFO  9460 --- [main] com.example.mqdemo.MqdemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-23 11:56:23.911 INFO  9460 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2022-07-23 11:56:23.921 INFO  9460 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2022-07-23 11:56:23.922 INFO  9460 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-23 11:56:23.922 INFO  9460 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-23 11:56:24.184 INFO  9460 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-23 11:56:24.184 INFO  9460 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1214 ms
2022-07-23 11:56:29.527 INFO  9460 --- [main] o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='default', namespace='', nameServer='192.168.50.136:9876', topic='order_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='B', messageModel=CLUSTERING', tlsEnable=false}
2022-07-23 11:56:29.528 INFO  9460 --- [main] o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:orderConsumerTagB, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2022-07-23 11:56:29.542 INFO  9460 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-07-23 11:56:29.558 INFO  9460 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-07-23 11:56:29.573 INFO  9460 --- [main] com.example.mqdemo.MqdemoApplication - Started MqdemoApplication in 9.503 seconds (JVM running for 15.47)
2022-07-23 12:04:07.874 INFO  9460 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 12:04:07.875 INFO  9460 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 12:04:29.760 INFO  26092 --- [main] com.example.mqdemo.MqdemoApplication - Starting MqdemoApplication using Java 1.8.0_91 on SC-201909211057 with PID 26092 (E:\git\demo\mqdemo\target\classes started by Administrator in E:\git\demo)
